year,month,avgTemp,Period
1991,6,18.369,1991-2013
1991,7,17.873,1991-2013
1991,8,15.938,1991-2013
1991,9,10.916,1991-2013
1991,10,6.295,1991-2013
1991,11,0.3709999999999998,1991-2013
1991,12,-4.796,1991-2013
1992,1,-5.6850000000000005,1991-2013
1992,2,-5.156000000000001,1991-2013
1992,3,1.0460000000000005,1991-2013
1992,4,4.479,1991-2013
1992,5,11.584,1991-2013
1992,6,16.101,1991-2013
1992,7,18.103,1991-2013
1992,8,17.983,1991-2013
1992,9,12.765,1991-2013
1992,10,1.6950000000000005,1991-2013
1992,11,-3.1319999999999997,1991-2013
1992,12,-5.4700000000000015,1991-2013
1993,1,-5.212999999999999,1991-2013
1993,2,-5.395,1991-2013
1993,3,-2.641,1991-2013
1993,4,5.212000000000001,1991-2013
1993,5,14.003,1991-2013
1993,6,13.604,1991-2013
1993,7,17.072000000000006,1991-2013
1993,8,15.088,1991-2013
1993,9,6.987,1991-2013
1993,10,4.058,1991-2013
1993,11,-8.73,1991-2013
1993,12,-4.216,1991-2013
1994,1,-4.188,1991-2013
1994,2,-12.626,1991-2013
1994,3,-3.816,1991-2013
1994,4,6.646,1991-2013
1994,5,9.688,1991-2013
1994,6,14.331,1991-2013
1994,7,17.415000000000006,1991-2013
1994,8,15.554,1991-2013
1994,9,13.835,1991-2013
1994,10,4.689,1991-2013
1994,11,-2.702,1991-2013
1994,12,-9.248,1991-2013
1995,1,-6.971000000000001,1991-2013
1995,2,-1.4859999999999998,1991-2013
1995,3,0.2320000000000002,1991-2013
1995,4,8.129,1991-2013
1995,5,13.768,1991-2013
1995,6,18.896,1991-2013
1995,7,16.984,1991-2013
1995,8,16.419,1991-2013
1995,9,12.285,1991-2013
1995,10,6.058,1991-2013
1995,11,-3.397,1991-2013
1995,12,-10.322,1991-2013
1996,1,-11.345999999999998,1991-2013
1996,2,-11.11,1991-2013
1996,3,-4.648,1991-2013
1996,4,5.6099999999999985,1991-2013
1996,5,15.227,1991-2013
1996,6,15.845999999999998,1991-2013
1996,7,18.221,1991-2013
1996,8,16.815,1991-2013
1996,9,9.52,1991-2013
1996,10,5.381,1991-2013
1996,11,3.4720000000000004,1991-2013
1996,12,-8.365,1991-2013
1997,1,-8.424000000000001,1991-2013
1997,2,-5.379999999999999,1991-2013
1997,3,-1.6189999999999998,1991-2013
1997,4,3.934,1991-2013
1997,5,11.035,1991-2013
1997,6,17.537,1991-2013
1997,7,18.264000000000006,1991-2013
1997,8,17.137,1991-2013
1997,9,8.392999999999999,1991-2013
1997,10,3.4160000000000004,1991-2013
1997,11,-1.001,1991-2013
1997,12,-8.611,1991-2013
1998,1,-5.609,1991-2013
1998,2,-7.757000000000001,1991-2013
1998,3,-1.8159999999999996,1991-2013
1998,4,3.5860000000000003,1991-2013
1998,5,13.113,1991-2013
1998,6,18.966,1991-2013
1998,7,18.360000000000007,1991-2013
1998,8,15.074000000000002,1991-2013
1998,9,10.644,1991-2013
1998,10,5.077,1991-2013
1998,11,-8.663,1991-2013
1998,12,-7.32,1991-2013
1999,1,-5.120000000000001,1991-2013
1999,2,-7.1309999999999985,1991-2013
1999,3,-1.6129999999999995,1991-2013
1999,4,8.793,1991-2013
1999,5,8.457,1991-2013
1999,6,20.291,1991-2013
1999,7,21.156999999999996,1991-2013
1999,8,15.895,1991-2013
1999,9,11.407,1991-2013
1999,10,6.803999999999999,1991-2013
1999,11,-5.034,1991-2013
1999,12,-2.5730000000000004,1991-2013
2000,1,-7.3130000000000015,1991-2013
2000,2,-3.5509999999999997,1991-2013
2000,3,-1.6609999999999996,1991-2013
2000,4,10.096,1991-2013
2000,5,10.357,1991-2013
2000,6,15.243,1991-2013
2000,7,18.676,1991-2013
2000,8,16.42,1991-2013
2000,9,9.775,1991-2013
2000,10,6.6110000000000015,1991-2013
2000,11,-0.1680000000000001,1991-2013
2000,12,-2.9539999999999997,1991-2013
2001,1,-4.9140000000000015,1991-2013
2001,2,-7.760999999999999,1991-2013
2001,3,-2.8329999999999997,1991-2013
2001,4,10.055,1991-2013
2001,5,11.012,1991-2013
2001,6,15.733,1991-2013
2001,7,22.305999999999997,1991-2013
2001,8,16.576,1991-2013
2001,9,11.630999999999998,1991-2013
2001,10,4.7780000000000005,1991-2013
2001,11,-0.8650000000000001,1991-2013
2001,12,-11.924,1991-2013
2002,1,-5.558000000000002,1991-2013
2002,2,-1.0739999999999998,1991-2013
2002,3,1.883,1991-2013
2002,4,6.496,1991-2013
2002,5,12.188,1991-2013
2002,6,16.59,1991-2013
2002,7,21.741999999999997,1991-2013
2002,8,16.913,1991-2013
2002,9,11.588,1991-2013
2002,10,2.3080000000000003,1991-2013
2002,11,-1.884,1991-2013
2002,12,-13.581,1991-2013
2003,1,-8.051,1991-2013
2003,2,-9.678,1991-2013
2003,3,-4.0139999999999985,1991-2013
2003,4,3.705,1991-2013
2003,5,14.829,1991-2013
2003,6,12.697,1991-2013
2003,7,19.809,1991-2013
2003,8,16.519000000000002,1991-2013
2003,9,11.2,1991-2013
2003,10,4.898,1991-2013
2003,11,0.901,1991-2013
2003,12,-2.9630000000000005,1991-2013
2004,1,-7.127000000000002,1991-2013
2004,2,-7.798999999999999,1991-2013
2004,3,0.7560000000000002,1991-2013
2004,4,4.175,1991-2013
2004,5,10.914,1991-2013
2004,6,14.791,1991-2013
2004,7,18.381,1991-2013
2004,8,17.955,1991-2013
2004,9,11.871,1991-2013
2004,10,5.601,1991-2013
2004,11,-2.1910000000000003,1991-2013
2004,12,-3.5400000000000005,1991-2013
2005,1,-3.603,1991-2013
2005,2,-9.947,1991-2013
2005,3,-6.891,1991-2013
2005,4,6.462000000000001,1991-2013
2005,5,14.477,1991-2013
2005,6,15.657,1991-2013
2005,7,18.706000000000003,1991-2013
2005,8,17.125999999999998,1991-2013
2005,9,12.904000000000002,1991-2013
2005,10,5.707999999999999,1991-2013
2005,11,0.8389999999999997,1991-2013
2005,12,-4.928999999999999,1991-2013
2006,1,-11.423,1991-2013
2006,2,-14.404000000000002,1991-2013
2006,3,-4.845999999999999,1991-2013
2006,4,5.279,1991-2013
2006,5,11.743,1991-2013
2006,6,17.616,1991-2013
2006,7,17.435000000000002,1991-2013
2006,8,17.215999999999998,1991-2013
2006,9,13.07,1991-2013
2006,10,6.606,1991-2013
2006,11,0.1280000000000001,1991-2013
2006,12,0.5120000000000005,1991-2013
2007,1,-2.4030000000000005,1991-2013
2007,2,-11.948999999999998,1991-2013
2007,3,3.886000000000001,1991-2013
2007,4,5.02,1991-2013
2007,5,15.086000000000002,1991-2013
2007,6,16.667,1991-2013
2007,7,18.360000000000007,1991-2013
2007,8,19.571,1991-2013
2007,9,11.773,1991-2013
2007,10,6.446000000000001,1991-2013
2007,11,-2.523,1991-2013
2007,12,-2.8100000000000005,1991-2013
2008,1,-6.8100000000000005,1991-2013
2008,2,-2.197,1991-2013
2008,3,1.3400000000000007,1991-2013
2008,4,8.806000000000003,1991-2013
2008,5,10.868,1991-2013
2008,6,15.058,1991-2013
2008,7,18.655,1991-2013
2008,8,17.7,1991-2013
2008,9,10.741,1991-2013
2008,10,8.24,1991-2013
2008,11,1.6019999999999996,1991-2013
2008,12,-2.8939999999999997,1991-2013
2009,1,-6.4700000000000015,1991-2013
2009,2,-6.004,1991-2013
2009,3,-1.3159999999999998,1991-2013
2009,4,4.611000000000001,1991-2013
2009,5,12.916,1991-2013
2009,6,16.741,1991-2013
2009,7,18.387,1991-2013
2009,8,15.403,1991-2013
2009,9,13.68,1991-2013
2009,10,5.473,1991-2013
2009,11,1.93,1991-2013
2009,12,-7.126,1991-2013
2010,1,-15.845999999999998,1991-2013
2010,2,-8.677999999999999,1991-2013
2010,3,-2.0369999999999995,1991-2013
2010,4,7.55,1991-2013
2010,5,16.284000000000002,1991-2013
2010,6,18.568,1991-2013
2010,7,24.58,1991-2013
2010,8,21.478,1991-2013
2010,9,11.602,1991-2013
2010,10,3.298,1991-2013
2010,11,2.3629999999999995,1991-2013
2010,12,-8.186,1991-2013
2011,1,-8.472000000000001,1991-2013
2011,2,-11.759,1991-2013
2011,3,-2.9079999999999995,1991-2013
2011,4,5.729,1991-2013
2011,5,13.982,1991-2013
2011,6,18.437,1991-2013
2011,7,22.434,1991-2013
2011,8,18.149,1991-2013
2011,9,11.812,1991-2013
2011,10,5.926,1991-2013
2011,11,-0.3440000000000001,1991-2013
2011,12,-0.8680000000000003,1991-2013
2012,1,-7.713000000000001,1991-2013
2012,2,-12.533,1991-2013
2012,3,-3.467,1991-2013
2012,4,7.247000000000001,1991-2013
2012,5,14.592,1991-2013
2012,6,16.333,1991-2013
2012,7,20.001,1991-2013
2012,8,17.395,1991-2013
2012,9,12.509,1991-2013
2012,10,6.061,1991-2013
2012,11,1.0760000000000003,1991-2013
2012,12,-9.09,1991-2013
2013,1,-9.23,1991-2013
2013,2,-4.726,1991-2013
2013,3,-7.497000000000001,1991-2013
2013,4,5.353,1991-2013
2013,5,16.152,1991-2013
2013,6,18.718,1991-2013
2013,7,18.136000000000006,1991-2013
2013,8,17.485,1991-2013
